text,intent
see in which cases can I request my money back,check_refund_policy
have a problem with canceling order {{Order Number}},cancel_order
assistance notifying of troubles with payments,payment_issue
want assistance to report issues with payments,payment_issue
i want help trying to edit my delivery address,change_shipping_address
my shipping address has changed how can i modify it,change_shipping_address
help me call customer assistance,contact_customer_service
I want assistance checking how long refunds usually take,check_refund_policy
help me checking the early termination fees,check_cancellation_fee
can you help me updating the shipping address?,change_shipping_address
I need help seeing your refund policy,check_refund_policy
I have a probllem with canceling order {{Order Number}},cancel_order
I have a problem with cancelling purchase {{Order Number}},cancel_order
need assistance seeing the withdrawal penalty,check_cancellation_fee
"I want to check the options for shipping, how to do it?",delivery_options
I am waiting for a compensation of  {{Currency Symbol}}{{Refund Amount}},track_refund
I have to see in whzt cases can I request to be reimbursed,check_refund_policy
I need help  checking the withdrawal charges,check_cancellation_fee
help to see what hours i can reach customer assistance,contact_customer_service
can i see in which situtaions can i request refunds,check_refund_policy
need assistance checking my compensation current status,track_refund
I want help to see if there are any news on the compensation,track_refund
I need help to see what hours customer service available is,contact_customer_service
I want help seeing in which cases can I ask for a refund,check_refund_policy
I have a problem with cancelling purchase {{Order Number}},cancel_order
I need help seeing the bloody termination penalty,check_cancellation_fee
could you help me updating the address?,change_shipping_address
need assistance trying to corrcet my delivery address,change_shipping_address
can ya help me seeing the refnd status,track_refund
how to cancel order {{Order Number}},cancel_order
there is an issue changing my address,change_shipping_address
I need help to check if there are any news on the rebate,track_refund
how can i get information about the options for delivery,delivery_options
"I need to check your refund policy , how to do it?",check_refund_policy
"my shipping address changed, can I update it?",change_shipping_address
i want help seeing in what cases can i ask to be refunded,check_refund_policy
want assistance to notify of payment issues,payment_issue
wanna see ur refund policy how to do  it,check_refund_policy
"I have to see the shipment methods, can you help me?",delivery_options
can you help me see in which cases can I ask for refunds?,check_refund_policy
"I entered a wrong shipping address, can I edit it?",change_shipping_address
I do not know what to do to check the termination fees,check_cancellation_fee
I want to know more about a delivery address change,change_shipping_address
i need help seeing the canclelation charge,check_cancellation_fee
there are problems trying to change my delivery address,change_shipping_address
i need support editing my shipping adress,change_shipping_address
I'm waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},track_refund
assistance seeing your money back policy,check_refund_policy
I don't know what I have to do to call customer service,contact_customer_service
how to edit the address?,change_shipping_address
what do i need to do to get in touch with customer service,contact_customer_service
I have a problem updating my shipping address,change_shipping_address
i have to see the shipment options can i get some help,delivery_options
I am waitig for a damn reimbursement of {{Refund Amount}} dollars,track_refund
can you help me report an issue with online payments?,payment_issue
"I entered a wrong shipping address, how do I correct it?",change_shipping_address
know if there is anything wrong with the refund,track_refund
can i check what hours i can call customer assitsance,contact_customer_service
i want information about correcting the address,change_shipping_address
deliveries to {{Delivery Country}},delivery_options
where do I change my address?,change_shipping_address
can I check what hours I can contact customer service?,contact_customer_service
ened help with cancelling purchase {{Order Number}},cancel_order
I'm trying to see at what time i can call customer support,contact_customer_service
"my address has changed, I need help modifying it",change_shipping_address
where do i see if there are any news on the rebate,track_refund
i expect an refund of {{Refund Amount}} dollars was it processed,track_refund
i need help trying to correct my shipping address,change_shipping_address
I want to check in what situations can I request a refund,check_refund_policy
how do I see what shipping methods you offer?,delivery_options
"I want to see your reimbursement policy, I need assistance",check_refund_policy
I try to check the early termination fees,check_cancellation_fee
"I purchased some item, help canceling one of the orders",cancel_order
how to see what delivery options you offer?,delivery_options
assistance cancelling purchase {{Order Number}},cancel_order
shipmetns to {{Delivery City}},delivery_options
help me to cancel purchase {{Order Number}},cancel_order
help to cancel purchase {{Order Number}},cancel_order
I want help to inform of an error with payments,payment_issue
can i order from {{Delivery City}},delivery_options
I want to see the cancellation penalty,check_cancellation_fee
need assistance modifying the delivery addres,change_shipping_address
i have got to contact customer support how can i do it,contact_customer_service
cancelling purchase {{Order Number}},cancel_order
"I cannot find the withdrawal charge, help me",check_cancellation_fee
could you help me to cancel purchase {{Order Number}}?,cancel_order
help speaking to customer service,contact_customer_service
trouble correcting address,change_shipping_address
need to check the withdrawal penalty will uhelp me,check_cancellation_fee
can ya tell me more about changing the address,change_shipping_address
I have got to see the early exit penalties,check_cancellation_fee
what is my rebate status?,track_refund
I have to edit my delivery address,change_shipping_address
notify of fucking payment issues,payment_issue
can i see what hours customer support availabl is,contact_customer_service
help to notify of payment issues,payment_issue
shipmetns to {{Delivery City}},delivery_options
problems with the methods for shipment,delivery_options
see the available methods for shipping,delivery_options
want help to report an error with payments,payment_issue
can I place an order from {{Delivery City}}?,delivery_options
see the withdrawal penalties,check_cancellation_fee
is it possible to see in which cases can I ask for a refund?,check_refund_policy
have problems with canceling purchase {{Order Number}},cancel_order
would it be possible to check my compensation status,track_refund
can i see at what time i can contact customer support,contact_customer_service
I have got to cancel order {{Order Number}},cancel_order
is it possible to place an order from {{Delivery City}}?,delivery_options
what do I need to do to call customer assistance?,contact_customer_service
i do not know how to check my refund current status,track_refund
help with payment,payment_issue
I need to see what hours I can contact customer service,contact_customer_service
"I have got to talk with customer service, can you help me?",contact_customer_service
cance order {{Order Number}},cancel_order
help seeing what shipping options you offer,delivery_options
I cannot afford order {{Order Number}},cancel_order
what do I have to do to check your rfund policy?,check_refund_policy
"I have to check the early exit charge, help me",check_cancellation_fee
can you help me see my reimbursement status?,track_refund
can I see the termination penalty?,check_cancellation_fee
check the available delivery options,delivery_options
want assistance to check how long refunds take,check_refund_policy
can I order from {{Delivery Country}}?,delivery_options
seed under which circumstances can I ask for a refund,check_refund_policy
I don't know what I have to do to see the withdrawal charges,check_cancellation_fee
help to see at what time customer support available is,contact_customer_service
wanna see inwhich cases can i ask to be refunded i need help,check_refund_policy
where could I check the current status of the compensation?,track_refund
do ya deliver to {{Delivery City}},delivery_options
i have to report issues with online payment,payment_issue
"I cannot make a payment, I need to inform of issues",payment_issue
need help to see what shipping methods are there,delivery_options
I'm waiting for a restitution oof {{Currency Symbol}}{{Refund Amount}},track_refund
can ugive me information about changing my delivery address,change_shipping_address
I do not know how to cancel purchase {{Order Number}},cancel_order
I need assistance seeing how long refunds take,check_refund_policy
I'm waiting for a refund of {{Refund Amount}} dollrs,track_refund
will you tell me what hours I can call customer service ?,contact_customer_service
what do i have to do to inform of a payment issue,payment_issue
where can I change the delivery address?,change_shipping_address
where can i cancel purchase {{Order Number}},cancel_order
can you help me correct my delivery address?,change_shipping_address
see in what cases can I request refunds,check_refund_policy
want assistance seeing your reimbursement policy,check_refund_policy
help me seeing in which situations can I ask for a refund,check_refund_policy
I need assistance to solve a trouble with online payment,payment_issue
help me checking in what cases can I request to be refunded,check_refund_policy
want assistance reporting an error with payments,payment_issue
I would like to see the status of the rebate,track_refund
can you help me see the early exit penalties?,check_cancellation_fee
can you help me to correct my address?,change_shipping_address
can uhelp me check if there are any updates on the rebate,track_refund
"I need to see what delivery methods you offer, help me",delivery_options
"I need to call customer support, how do I do it?",contact_customer_service
I need assistance reporting errors  with online payment,payment_issue
there is an issue trying to correct the address,change_shipping_address
do you ship to {{Delivery City}}?,delivery_options
I am trying to check the fucking early exit charge,check_cancellation_fee
i chose a wrong address by mistake colud ya modify it,change_shipping_address
I need to see in which cases can I request the damn refunds,check_refund_policy
I try to change the delivery address,change_shipping_address
want help checking what shipping methods I can choose,delivery_options
I need assistance getting in touch with customer support,contact_customer_service
i have to call customer support can uhelp me,contact_customer_service
assistance seeing what shipment options are available,delivery_options
I need help seeing the early termination fee,check_cancellation_fee
I am waiting for a refund of {{Refund Amount}} dollars,track_refund
help with canceling purchase {{Order Number}},cancel_order
assistance cancelling purchase {{Order Number}},cancel_order
can you show me what hours I can call customer service?,contact_customer_service
show me what shipping methods I have,delivery_options
I expect a rebate of {{Refund Amount}} dollars,track_refund
help me to cancel my  last goddamn purchase,cancel_order
do ya have an e-mail  to contact customer support,contact_customer_service
I want assistance checking the early termination fee,check_cancellation_fee
I do not know how I can speak to customer service,contact_customer_service
do ya ship toMexico,delivery_options
assistance to see what options for delivery you offer,delivery_options
is it possible to place an order from {{Delivery Country}}?,delivery_options
I want to inform of an issue with online payment,payment_issue
I don't know what I have to do to call customer support,contact_customer_service
help to check in which cases can I request my money back,check_refund_policy
help me inform of a problem withpayment,payment_issue
can I check how long reimbursements usually take?,check_refund_policy
I have to see in what situations can I ask for a refund,check_refund_policy
how can I notify of problems with payment?,payment_issue
"I have got to speak with customer support, how can I do it?",contact_customer_service
want help cancelling purchase {{Order Number}},cancel_order
I need assistance checking the cancellation charges,check_cancellation_fee
can I see what hours I can reach customer assistance ?,contact_customer_service
help checking what shipment methods i can choose,delivery_options
assistance checking the fucking early exit penalties,check_cancellation_fee
uhave a free phone number to talk to customer assistance,contact_customer_service
showing refund status,track_refund
how do I inform of a trouble with payments?,payment_issue
I'm waiting for a reimbursement of {{Refund Amount}} dollars,track_refund
help me solving troubles with payment,payment_issue
assistance to see  ur reimbursement policy,check_refund_policy
can you help me check my restitution status?,track_refund
"I need to check your reimbursement policy, help me",check_refund_policy
"I have got to see the cancellation penalties, help me",check_cancellation_fee
want assistance checking the temrination charge,check_cancellation_fee
i try to inform of troubles with online payments,payment_issue
I need assistance tocancel order {{Order Number}},cancel_order
where to see what hours i can reach customer service,contact_customer_service
I need assistance to notify of a payment error,payment_issue
can you help me cancelong purchase {{Order Number}}?,cancel_order
i expect a reimbursement of {{Refund Amount}} dollars,track_refund
I get an error when I try to check out,payment_issue
how to inform of a problem with online payments?,payment_issue
"the address changed, can you help me change it?",change_shipping_address
I'm trying to see the early exit charge,check_cancellation_fee
question about canceling order {{Order Number}},cancel_order
want help to check the restitution status,track_refund
help me seeing what hours i can reachb customer service,contact_customer_service
can you help me inform of a problem with payment?,payment_issue
help me cancelling purchase {{Order Number}},cancel_order
check the available options for shipping,delivery_options
I'm waiting for a refund of {{Refund Amount}} dollrs,track_refund
what do i need to do to cancel order {{Order Number}},cancel_order
how to see at what time customer support available is?,contact_customer_service
what are the fees for breaking the contract?,check_cancellation_fee
I have got to check what delivery methods I can choose,delivery_options
is it possible to place an order from {{Delivery City}},delivery_options
where can I see what shipment options you offer?,delivery_options
i expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},track_refund
i want assistance to inform of a problem with online payment,payment_issue
i have problems editing my delivery address,change_shipping_address
"I have got to modify my delivery address, how can I do it?",change_shipping_address
help to check what options for delivery are there,delivery_options
I have got to check the withdrawal penalty,check_cancellation_fee
help seeing at what time customer service available is,contact_customer_service
"I have to see what shipping methods I have, can you help me?",delivery_options
can you tell me what hours customer support available is?,contact_customer_service
where can i see if there are any news on the reimbursement,track_refund
help me to see in what cases can i request a reimbursement,check_refund_policy
assistance seeing if there is anything new on the rebate,track_refund
I need to inform of a trouble with online payment,payment_issue
i have got to talk to customer support,contact_customer_service
help me check the early termination penalty,check_cancellation_fee
there is a problem trying to edit my address,change_shipping_address
can uhelp me to cancel purchase {{Order Number}},cancel_order
how do i check what hours customer supporft available is,contact_customer_service
need assistance to correct my address,change_shipping_address
help me see in what case can i request the bloody refunds,check_refund_policy
I do not know what I have to do to see the termination fee,check_cancellation_fee
"I have to check the early exit fees, help me",check_cancellation_fee
I expect a bloody reimbursement of {{Refund Amount}} dollars,track_refund
how can I see the current status of my refund?,track_refund
want help seeing in which cases can I ask for a refund,check_refund_policy
I have errors chanjging the shipping address,change_shipping_address
"I want to check the shipment methods, how can I do it?",delivery_options
i dont know how to see the early termination penalty,check_cancellation_fee
where do I check the early exit charges?,check_cancellation_fee
I don't know what I have to do to see my compensation status,track_refund
I want help notifying of a payment problem,payment_issue
I need help checking what delivery options are there,delivery_options
i do ont know how i can report an issue with payment,payment_issue
I am trying to see in what cases can I ask for refunds,check_refund_policy
what do I have to do to talk with bloody customer support?,contact_customer_service
I can no longer afford purchase {{Order Number}},cancel_order
can you tell me more about updating the address?,change_shipping_address
I need help canceling purchase {{Order Number}},cancel_order
help notifying of problems with payment,payment_issue
i have problems changing my shipping addresw,change_shipping_address
i have to see the early exit epnalty how to do it,check_cancellation_fee
can you help me sdeing the early exit penalties?,check_cancellation_fee
"I cannot pay for this product, cancel order {{Order Number}}",cancel_order
I'm waiting for a restitution of {{Refund Amount}} dollars,track_refund
i have chosen a wrong bloody delivery address by mistale,change_shipping_address
is it possible to check the early termination charges,check_cancellation_fee
troubles with online payments,payment_issue
hoe can i check the withdrawal penalties,check_cancellation_fee
"I no longer want order {{Order Number}}, I would like to cancel it",cancel_order
I want help to check what hours I can call customer service,contact_customer_service
I expect a damn rebate of {{Refund Amount}} dollars,track_refund
"I cannot pay, help me informing of damn issues with payments",payment_issue
can you help me to see the withdrawal charge?,check_cancellation_fee
is it possible to place an order from {{Delivery City}}?,delivery_options
how can I check what hours I can call customer support?,contact_customer_service
I'm waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},track_refund
i want help to cancel order {{Order Number}},cancel_order
I want to see at what time I can call customer support,contact_customer_service
problems changing delivery address,change_shipping_address
I don't know what to do to cancel purchase {{Order Number}},cancel_order
I have to check in what situations can I request a refund,check_refund_policy
where could I edit the address?,change_shipping_address
I am waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},track_refund
I want to see your  refund policy,check_refund_policy
I want help canceling purchase {{Order Number}},cancel_order
are there early exit fees?,check_cancellation_fee
can ya help me seeing the terminatio penalties,check_cancellation_fee
help to see in what cases can I ask for a reimbursement,check_refund_policy
I want help trying to edit my addreds,change_shipping_address
help to call customer support,contact_customer_service
"I can't pay, can you help me notifying of payment errors?",payment_issue
I try to inform of a trouble with online payment,payment_issue
can I place an order from {{Delivery City}}?,delivery_options
help me to talk with customer service,contact_customer_service
I don't know how to cancel purchase {{Order Number}},cancel_order
I do not know how to infgorm of payment problems,payment_issue
I try to see in what cases can I request a reimbursement,check_refund_policy
I need to check in what cases can I request reimbursements,check_refund_policy
helpme seeing the early exit fee,check_cancellation_fee
can you help me check the early exit penalties?,check_cancellation_fee
need help with canceling order {{Order Number}},cancel_order
I don't know how to see the early termination charges,check_cancellation_fee
I need help checking in what cases can I request refunds,check_refund_policy
I have a trouble correcing the address,change_shipping_address
I need help to see in what cases can I ask to be refunded,check_refund_policy
can you help me cancelling order {{Order Number}}?,cancel_order
I want to inform of an issue with online payments,payment_issue
help me modify the shipping address,change_shipping_address
any news on the refund,track_refund
help me checking in what cases can I ask for  reimbursements,check_refund_policy
call customer support,contact_customer_service
where can I notify of problems with payent?,payment_issue
need help to see my rebate current status,track_refund
there is an issue modifying my address,change_shipping_address
help me to see the cancellation fee,check_cancellation_fee
need help with canceling order {{Order Number}},cancel_order
in which cases can i request to be refunded,check_refund_policy
I have got to see in which cases can I ask to be reimbursed,check_refund_policy
I can't see if there is anything new on the compensation,track_refund
I have problems with cancelling purchase {{Order Number}},cancel_order
i do not know how to call customer assistance,contact_customer_service
solve issue with payment,payment_issue
where do i inform of payment problems,payment_issue
where could I notify of a payment issue?,payment_issue
I am  trying to check the early exit fees,check_cancellation_fee
I'm waiting for a ocmpensation of {{Refund Amount}} dollars,track_refund
I try to talk to customer assistance,contact_customer_service
canuhelp me to see the cancellation penalty,check_cancellation_fee
what do I have to do to call customer service?,contact_customer_service
"I want to modify the address, how can I do it?",change_shipping_address
I want help to see in which situations can I ask for refunds,check_refund_policy
I want to check in which situations can I request refunds,check_refund_policy
can you help me to cancel order {{Order Number}}?,cancel_order
is it possible to place an order from {{Delivery City}},delivery_options
I'm trying to see the rebate current status,track_refund
could you help me checking the refund current status?,track_refund
i try to notify of an issue with online payment,payment_issue
I'm trying to see the cancellation fee,check_cancellation_fee
i need help checking the termination fee,check_cancellation_fee
I need help to see what methods for delivery you offer,delivery_options
d uship to {{Delivery City}},delivery_options
can uhelp me ot check the goddamn early exit penalties,check_cancellation_fee
i have to check what methods for delivery i have,delivery_options
were do i report damn troubles with payment,payment_issue
assistance seeing the shipping methods,delivery_options
do you have a toll-free customer service number?,contact_customer_service
help canceling purchase {{Order Number}},cancel_order
i need help to inform of troubls with payment,payment_issue
how do I see at what time I can call customer support?,contact_customer_service
can uhelp me to notify of errors with payment,payment_issue
I have got to see what delivery options are there,delivery_options
is it possible to see the termination fees,check_cancellation_fee
I am trying to notify of problems with online payment,payment_issue
canceling purchase {{Order Number}},cancel_order
I don't know what I have to do to modify my delivery address,change_shipping_address
how do I edit my address?,change_shipping_address
how do I change my address?,change_shipping_address
I want assistance cancelling order {{Order Number}},cancel_order
i cant make payments notify of issujes,payment_issue
want help canceling purchase {{Order Number}},cancel_order
i try to cancel order {{Order Number}},cancel_order
od ya deliver to {{Delivery Country}},delivery_options
where can i check the early exit charges,check_cancellation_fee
will you give me information about updating the address?,change_shipping_address
where do i inform of goddamn problems with online paymnts,payment_issue
i try to see in which situations can i ask for refunds,check_refund_policy
uhave a free number to talk to customer support,contact_customer_service
I am trying to inform of payment problems,payment_issue
do you ship  to {{Delivery Country}}?,delivery_options
I want to check what hours I can contact customer support,contact_customer_service
assistance to see in which cases can i ask for refunds,check_refund_policy
i need assistance trying to update the shipping address,change_shipping_address
I'd like to soeak with customer assistance could uhelp me,contact_customer_service
help me seeing in which cases can I ask for my money back,check_refund_policy
how to check at what time i can reach customer service,contact_customer_service
can you help me solve issues with payment?,payment_issue
help me  to check in what cases can i ask to be refunded,check_refund_policy
I need to see what hours I can contact customer support,contact_customer_service
I need to check what shipment methods I have,delivery_options
assistance seeing how olng refunds take,check_refund_policy
wanna know about an address modification,change_shipping_address
how to see the withdrawal penalty?,check_cancellation_fee
I need help seeing in which cases can I ask for a refund,check_refund_policy
"I no longer want purchase {{Order Number}}, can you cancel it?",cancel_order
"I am waiting for a restitution of {{Currency Symbol}}{{Refund Amount}}, was it processed",track_refund
I can't find the termination fees,check_cancellation_fee
i dont know what to do to cancel order {{Order Number}},cancel_order
i cannot see if there is anything new on the compensation,track_refund
is it possible to see in which cases can i ask for refunds,check_refund_policy
I am looking for information about an address update,change_shipping_address
solving payment errors,payment_issue
"I need to see the cancellation penalties, will you help me?",check_cancellation_fee
"I have got to cancel purchase {{Order Number}}, help me",cancel_order
do uship to {{Delivery City}},delivery_options
I want help cancellkng purchase {{Order Number}},cancel_order
is it possible to place na order from {{Delivery Country}},delivery_options
I want help informing of problems with payment,payment_issue
assistance to contact goddamn customer support,contact_customer_service
I need assistance cancelling order {{Order Number}},cancel_order
could I place a damn order from {{Delivery Country}}?,delivery_options
help me to check what hours i can call customerr service,contact_customer_service
I cannot find anything about the termination charges,check_cancellation_fee
need to check in what cases can i request to be refunded,check_refund_policy
I need assistance seeing the compensation current status,track_refund
I need to check the termination charge,check_cancellation_fee
where can I get information about changing the address?,change_shipping_address
I expect a fucking compensation of {{Currency Symbol}}{{Refund Amount}},track_refund
need to check what methods for delivery i can choose help me,delivery_options
"I can't make a payment, inform of an error with payment",payment_issue
how can I notify of an error with online payment?,payment_issue
i do not know how i can see the early exit charges,check_cancellation_fee
issue with payments,payment_issue
assistance to see in what situations can i ask for a refund,check_refund_policy
help me check what goddamn shipping options are available,delivery_options
how could I get in touch with fucking customer service?,contact_customer_service
what are the available methods for shipment?,delivery_options
I need help checking the early exit charge,check_cancellation_fee
could I check in what cases can I request reimbursements?,check_refund_policy
"I want to see the methods for delivery, can you help me?",delivery_options
I do not know how I could cancel purchase {{Order Number}},cancel_order
will you show me what delivery methods I can choose?,delivery_options
I need to see in which cases can I ask for a reimbursement,check_refund_policy
can you help me to see what delivery options I have?,delivery_options
check in whicch cases can i ask to be refunded,check_refund_policy
"I want to contact customer support, can I get some help?",contact_customer_service
help with canceling purchase {{Order Number}},cancel_order
I have got to inform of damn errors with online payment,payment_issue
i expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},track_refund
how do I check your money back policy ?,check_refund_policy
i do not know how to check the early termination fee,check_cancellation_fee
problems with a goddamn address update,change_shipping_address
show me in what situations can i ask for my money back,check_refund_policy
need help ot check in what cases can I ask for refunds,check_refund_policy
assistance notifying of a trouble wigh online payment,payment_issue
support trying to update mh address,change_shipping_address
i need help with cancelling purchase {{Order Number}},cancel_order
I wantassistance trying to update my address,change_shipping_address
I expect a refund of {{Refund Amount}} dollars,track_refund
I can no longer afford order {{Order Number}},cancel_order
shipnents to {{Delivery Country}},delivery_options
I need assistance seeing how long reimbursements take,check_refund_policy
tell me about a delivery address change,change_shipping_address
in what cases can I ask to be reimbursed?,check_refund_policy
how to see if there is anything wrong with the restitution?,track_refund
shiping to {{Delivery City}},delivery_options
I don't know what to do to contact customer assistance,contact_customer_service
assistance seeing the termination penalty,check_cancellation_fee
i expect a rebate of {{Refund Amount}} dollars,track_refund
"I have to talk to customer support, will you help me?",contact_customer_service
I need to see the cancellation fees,check_cancellation_fee
I tryh to check the termination fees,check_cancellation_fee
I need information about correcting the address,change_shipping_address
I want assistance solving problems with online payments,payment_issue
where to check te termination charges,check_cancellation_fee
i have a question about  canceling order {{Order Number}},cancel_order
supports editing the address,change_shipping_address
what do I need to do to cancel purchase {{Order Number}}?,cancel_order
I try to edit the address,change_shipping_address
need assistance withcanceling purchase {{Order Number}},cancel_order
what do i have to do to cancel purchase {{Order Number}},cancel_order
I have to check if there are any updates on the restitution,track_refund
"I expect a restitution of {{Currency Symbol}}{{Refund Amount}}, was it processed",track_refund
what do I have to do to cancel purchase {{Order Number}}?,cancel_order
i try to see the early temrination penalty,check_cancellation_fee
i need help trying to edit my shipping address,change_shipping_address
help me see under which circumstances can i request a refund,check_refund_policy
where to edit my delivery address?,change_shipping_address
I want help solving a problem with online payment,payment_issue
"I need to check the termination charge, how to do it?",check_cancellation_fee
assistance to see the restitution status,track_refund
where can I see what shipping methods are available?,delivery_options
I'm waiting for a restitution of {{Refund Amount}} dollras,track_refund
help me check in what cases can I request to be reimbursed,check_refund_policy
i dont know what to do to talk with customer assistance,contact_customer_service
can ya show me in which cases can i request a refund,check_refund_policy
I'm trying to notify of payment problems,payment_issue
I need help cancelling order {{Order Number}},cancel_order
i do not nkow how to see the early termination penalty,check_cancellation_fee
supports trying to modify theaddress,change_shipping_address
I do not know what I have to do to cal customer assistance,contact_customer_service
how to see ta what time I can call customer support?,contact_customer_service
can I place an order from {{Delivery Country}}?,delivery_options
is it possible to cancel order {{Order Number}},cancel_order
how can i talk wiht customer service,contact_customer_service
I am trying to check in what cases can I request a refund,check_refund_policy
I have a problem correcting te shipping address,change_shipping_address
